Date,Open,High,Low,Close,Adj Close,Volume
2023-04-02,1676.286743,1693.281250,1666.545898,1669.069092,1669.069092,5112900496
2023-04-03,1675.815430,1678.701904,1636.128906,1662.240234,1662.240234,5738920711
2023-04-04,1661.513062,1687.749146,1633.691162,1659.790894,1659.790894,8842048318
2023-04-05,1659.648682,1732.159912,1653.407471,1707.499878,1707.499878,9489623344
2023-04-06,1707.463379,1767.555786,1701.722168,1750.968750,1750.968750,9464417493
2023-04-07,1750.995728,1751.113403,1704.934082,1715.156982,1715.156982,7567141866
2023-04-08,1714.984375,1724.261353,1691.096558,1696.609375,1696.609375,7599065070
2023-04-09,1695.739136,1708.860596,1681.637329,1682.203613,1682.203613,4562612658
2023-04-10,1682.361938,1718.026245,1663.286865,1703.816528,1703.816528,5829243924
2023-04-11,1704.140381,1764.615967,1704.389893,1758.280273,1758.280273,7709589451
2023-04-12,1758.435181,1779.589844,1728.327637,1733.353638,1733.353638,8132042230
2023-04-13,1733.133789,1755.858032,1702.428467,1746.487793,1746.487793,10012108474
2023-04-14,1743.774536,1830.539307,1729.277954,1821.067993,1821.067993,11352706657
2023-04-15,1822.240723,1922.383789,1820.175049,1892.768677,1892.768677,14678345398
2023-04-16,1892.751465,1901.270386,1870.140869,1884.680664,1884.680664,7238430792
2023-04-17,1884.513306,1945.184082,1870.598389,1929.989746,1929.989746,7190217746
2023-04-18,1929.985474,1930.007202,1884.713745,1900.511841,1900.511841,8832210776
2023-04-19,1900.156982,1933.816284,1883.117432,1917.553345,1917.553345,8322476165
2023-04-20,1917.014893,1917.693359,1761.546387,1768.108643,1768.108643,12582133994
2023-04-21,1768.121948,1801.692871,1750.606934,1771.603760,1771.603760,10324689864
2023-04-22,1771.888428,1783.123657,1663.075928,1667.192139,1667.192139,10854119588
2023-04-23,1666.549194,1700.339355,1663.451660,1689.026733,1689.026733,6281838665
2023-04-24,1688.975220,1696.237183,1673.413208,1694.036987,1694.036987,6011221835
2023-04-25,1694.058228,1718.078735,1641.786255,1666.529053,1666.529053,7631221785
2023-04-26,1666.028809,1710.546509,1643.553223,1700.444580,1700.444580,7904198791
2023-04-27,1699.893677,1775.511353,1624.278687,1689.918213,1689.918213,12997866269
2023-04-28,1690.035034,1756.944824,1686.825195,1730.297729,1730.297729,12698258100
2023-04-29,1730.738892,1748.551636,1700.550903,1700.801270,1700.801270,6912584472
2023-04-30,1700.848145,1722.734497,1696.737061,1715.494019,1715.494019,4310625762
2023-05-01,1715.336182,1742.005859,1704.600098,1704.600098,1704.600098,5939224350
2023-05-02,1697.304443,1713.818481,1648.241943,1670.152832,1670.152832,7863936777
